1. **الحسابات والدفتر العام**: الحسابات، سندات القيد، مراكز التكلفة
| 1 | ACCOUNT | ACCOUNT_GROUPING | n:1 | A_AG | AG_CODE | AC_ACGR_FK | الحسابات والدفتر العام | ربط الحساب بمجموعة الحسابات |
| 170 | GLS_COST_CENTER_TRANS | MASTER_JOURNAL | n:1 | GCCT_MJ | MJ_CODE | GLCOCETR_MAJO_FK | الحسابات والدفتر العام | ربط gls cost center trans بـmaster journal |
| 176 | ACCOUNT_CURR | MASTER_JOURNAL | n:1 | AC_MJ | MJ_CODE | ACCU_MAJO_FK | الحسابات والدفتر العام | ربط account curr بـmaster journal |
| 203 | ACCOUNT_GROUPING | ACCOUNT_REPORT_TYPE | n:1 | AG_ART | ART_CODE | ACGR_ACRETY_FK | الحسابات والدفتر العام | ربط account grouping بـaccount report type |
| 231 | GLS_COST_CENTER_TRANS | S_EMP | n:1 | GCCT_EMP | EMP_CODE | GLCOCETR_SEM_FK | الحسابات والدفتر العام | ربط gls cost center trans بـs emp |
| 232 | ACCOUNT_TYPES | MASTER_JOURNAL | n:1 | AT_MJ | MJ_CODE | ACTY_MAJO_FK | الحسابات والدفتر العام | ربط account types بـmaster journal |
| 233 | ACCOUNT_TYPES | GLS_COST_CENTER_TRANS | n:1 | AT_GCCT | GCCT_CODE | ACTY_GLCOCETR_FK | الحسابات والدفتر العام | ربط account types بـgls cost center trans |
| 234 | ACCOUNT | ACCOUNT_GROUPING | n:1 | A_AG | AG_CODE | AC_ACGR_FK | الحسابات والدفتر العام | ربط الحساب بمجموعة الحسابات |
| 235 | ACCOUNT_TYPES | ACCOUNT_CURR | n:1 | AT_AC | AC_CODE | ACTY_ACCU_FK | الحسابات والدفتر العام | ربط account types بـaccount curr |
| 247 | DETAIL_JOURNAL | OPEN_BAL | n:1 | DJ_OB | OB_CODE | DEJO_OPBA_FK | الحسابات والدفتر العام | ربط detail journal بـopen bal |
| 279 | MASTER_JOURNAL | ACCOUNT_TYPES | n:1 | MJ_AT | AT_CODE | MAJO_ACTY_FK | الحسابات والدفتر العام | ربط master journal بـaccount types |
| 281 | GLS_COST_CENTER_TRANS | ACCOUNT_CURR | n:1 | GCCT_AC | AC_CODE | GLCOCETR_ACCU_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount curr |
| 288 | DETAIL_JOURNAL | GLS_COST_CENTER_TRANS | 1:n | DJ_GCCT | GCCT_CODE | DEJO_GLCOCETR_FK | الحسابات والدفتر العام | ربط detail journal بـgls cost center trans |
| 292 | ACCOUNT_TYPES | DETAIL_JOURNAL | n:1 | AT_DJ | DJ_CODE | ACTY_DEJO_FK | الحسابات والدفتر العام | ربط account types بـdetail journal |
| 294 | ACCOUNT | OPEN_BAL | n:1 | A_OB | OB_CODE | AC_OPBA_FK | الحسابات والدفتر العام | ربط account بـopen bal |
| 300 | DETAIL_JOURNAL | ACCOUNT_TYPES | 1:1 | DJ_AT | AT_CODE | DEJO_ACTY_FK | الحسابات والدفتر العام | ربط detail journal بـaccount types |
| 302 | ACCOUNT_GROUPING | ACCOUNT_TYPES | n:1 | AG_AT | AT_CODE | ACGR_ACTY_FK | الحسابات والدفتر العام | ربط account grouping بـaccount types |
| 305 | DETAIL_JOURNAL | MASTER_JOURNAL | n:1 | DJ_MJ | MJ_CODE | DEJO_MAJO_FK | الحسابات والدفتر العام | ربط تفاصيل القيد بسند القيد |
| 308 | ACCOUNT_REPORT_TYPE | S_EMP | n:1 | ART_EMP | EMP_CODE | ACRETY_SEM_FK | الحسابات والدفتر العام | ربط account report type بـs emp |
| 318 | ACCOUNT_TYPES | GLS_COST_CENTER_TRANS | n:1 | AT_GCCT | GCCT_CODE | ACTY_GLCOCETR_FK | الحسابات والدفتر العام | ربط account types بـgls cost center trans |
| 320 | MASTER_JOURNAL | DETAIL_JOURNAL | n:1 | MJ_DJ | DJ_CODE | MAJO_DEJO_FK | الحسابات والدفتر العام | ربط master journal بـdetail journal |
| 327 | OPEN_BAL | ACCOUNT_GROUPING | 1:n | OB_AG | AG_CODE | OPBA_ACGR_FK | الحسابات والدفتر العام | ربط open bal بـaccount grouping |
| 348 | ACCOUNT_REPORT_TYPE | ACCOUNT_TYPES | n:1 | ART_AT | AT_CODE | ACRETY_ACTY_FK | الحسابات والدفتر العام | ربط account report type بـaccount types |
| 350 | ACCOUNT | ACCOUNT_TYPES | n:1 | A_AT | AT_CODE | AC_ACTY_FK | الحسابات والدفتر العام | ربط الحساب بنوع الحساب |
| 360 | GLS_COST_CENTER_TRANS | ACCOUNT_REPORT_TYPE | n:1 | GCCT_ART | ART_CODE | GLCOCETR_ACRETY_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount report type |
| 365 | GLS_COST_CENTER_TRANS | CUSTOMER | n:1 | GCCT_CST | CST_CODE | GLCOCETR_CU_FK | الحسابات والدفتر العام | ربط gls cost center trans بـcustomer |
| 379 | MASTER_JOURNAL | GLS_COST_CENTER_TRANS | n:1 | MJ_GCCT | GCCT_CODE | MAJO_GLCOCETR_FK | الحسابات والدفتر العام | ربط master journal بـgls cost center trans |
| 387 | ACCOUNT_TYPES | MASTER_JOURNAL | n:1 | AT_MJ | MJ_CODE | ACTY_MAJO_FK | الحسابات والدفتر العام | ربط account types بـmaster journal |
| 389 | ACCOUNT_GROUPING | IAS_CURRENCY | n:1 | AG_CY | CY_CODE | ACGR_IACU_FK | الحسابات والدفتر العام | ربط account grouping بـias currency |
| 435 | OPEN_BAL | ACCOUNT | n:1 | OB_A | A_CODE | OPBA_AC_FK | الحسابات والدفتر العام | ربط open bal بـaccount |
| 439 | ACCOUNT_REPORT_TYPE | ACCOUNT | n:1 | ART_A | A_CODE | ACRETY_AC_FK | الحسابات والدفتر العام | ربط account report type بـaccount |
| 447 | ACCOUNT_REPORT_TYPE | OPEN_BAL | n:1 | ART_OB | OB_CODE | ACRETY_OPBA_FK | الحسابات والدفتر العام | ربط account report type بـopen bal |
| 448 | ACCOUNT_GROUPING | GLS_COST_CENTER_TRANS | n:1 | AG_GCCT | GCCT_CODE | ACGR_GLCOCETR_FK | الحسابات والدفتر العام | ربط account grouping بـgls cost center trans |
| 471 | GLS_COST_CENTER_TRANS | ACCOUNT_TYPES | n:1 | GCCT_AT | AT_CODE | GLCOCETR_ACTY_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount types |
| 474 | ACCOUNT_REPORT_TYPE | IAS_USR | n:1 | ART_IU | IU_CODE | ACRETY_IAUS_FK | الحسابات والدفتر العام | ربط account report type بـias usr |
| 481 | MASTER_JOURNAL | ACCOUNT_REPORT_TYPE | n:1 | MJ_ART | ART_CODE | MAJO_ACRETY_FK | الحسابات والدفتر العام | ربط master journal بـaccount report type |
| 492 | OPEN_BAL | ACCOUNT_REPORT_TYPE | n:1 | OB_ART | ART_CODE | OPBA_ACRETY_FK | الحسابات والدفتر العام | ربط open bal بـaccount report type |
| 516 | GLS_COST_CENTER_TRANS | ACCOUNT | n:1 | GCCT_A | A_CODE | GLCOCETR_AC_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount |
| 517 | OPEN_BAL | COST_CENTERS | n:1 | OB_CC | CC_CODE | OPBA_COCE_FK | الحسابات والدفتر العام | ربط open bal بـcost centers |
| 522 | ACCOUNT | DETAIL_JOURNAL | 1:n | A_DJ | DJ_CODE | AC_DEJO_FK | الحسابات والدفتر العام | ربط account بـdetail journal |
| 534 | ACCOUNT_TYPES | IAS_ACTVTY | n:1 | AT_ACTVTY | ACTVTY_CODE | ACTY_IAAC_FK | الحسابات والدفتر العام | ربط account types بـias actvty |
| 535 | GLS_COST_CENTER_TRANS | MASTER_JOURNAL | n:1 | GCCT_MJ | MJ_CODE | GLCOCETR_MAJO_FK | الحسابات والدفتر العام | ربط gls cost center trans بـmaster journal |
| 536 | ACCOUNT_GROUPING | COST_CENTERS | n:1 | AG_CC | CC_CODE | ACGR_COCE_FK | الحسابات والدفتر العام | ربط account grouping بـcost centers |
| 538 | ACCOUNT_TYPES | ACCOUNT_REPORT_TYPE | 1:n | AT_ART | ART_CODE | ACTY_ACRETY_FK | الحسابات والدفتر العام | ربط account types بـaccount report type |
| 543 | ACCOUNT_REPORT_TYPE | ACCOUNT_CURR | n:1 | ART_AC | AC_CODE | ACRETY_ACCU_FK | الحسابات والدفتر العام | ربط account report type بـaccount curr |
| 554 | ACCOUNT_CURR | S_EMP | n:1 | AC_EMP | EMP_CODE | ACCU_SEM_FK | الحسابات والدفتر العام | ربط account curr بـs emp |
| 558 | ACCOUNT | GLS_COST_CENTER_TRANS | 1:n | A_GCCT | GCCT_CODE | AC_GLCOCETR_FK | الحسابات والدفتر العام | ربط account بـgls cost center trans |
| 564 | ACCOUNT_REPORT_TYPE | DETAIL_JOURNAL | n:1 | ART_DJ | DJ_CODE | ACRETY_DEJO_FK | الحسابات والدفتر العام | ربط account report type بـdetail journal |
| 565 | OPEN_BAL | IAS_CURRENCY | n:1 | OB_CY | CY_CODE | OPBA_IACU_FK | الحسابات والدفتر العام | ربط open bal بـias currency |
| 567 | DETAIL_JOURNAL | ACCOUNT | n:1 | DJ_A | A_CODE | DEJO_AC_FK | الحسابات والدفتر العام | ربط تفاصيل القيد بالحساب |
| 593 | OPEN_BAL | ACCOUNT | n:1 | OB_A | A_CODE | OPBA_AC_FK | الحسابات والدفتر العام | ربط open bal بـaccount |
| 594 | GLS_COST_CENTER_TRANS | ACCOUNT_TYPES | n:1 | GCCT_AT | AT_CODE | GLCOCETR_ACTY_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount types |
| 604 | DETAIL_JOURNAL | ACCOUNT_TYPES | n:1 | DJ_AT | AT_CODE | DEJO_ACTY_FK | الحسابات والدفتر العام | ربط detail journal بـaccount types |
| 605 | ACCOUNT_TYPES | DETAIL_JOURNAL | 1:n | AT_DJ | DJ_CODE | ACTY_DEJO_FK | الحسابات والدفتر العام | ربط account types بـdetail journal |
| 608 | ACCOUNT_TYPES | ACCOUNT_REPORT_TYPE | n:1 | AT_ART | ART_CODE | ACTY_ACRETY_FK | الحسابات والدفتر العام | ربط account types بـaccount report type |
| 621 | ACCOUNT_CURR | ACCOUNT | n:1 | AC_A | A_CODE | ACCU_AC_FK | الحسابات والدفتر العام | ربط account curr بـaccount |
| 625 | MASTER_JOURNAL | IAS_ACTVTY | n:1 | MJ_ACTVTY | ACTVTY_CODE | MAJO_IAAC_FK | الحسابات والدفتر العام | ربط master journal بـias actvty |
| 631 | ACCOUNT_TYPES | DETAIL_JOURNAL | n:1 | AT_DJ | DJ_CODE | ACTY_DEJO_FK | الحسابات والدفتر العام | ربط account types بـdetail journal |
| 648 | DETAIL_JOURNAL | VENDOR | n:1 | DJ_VNDR | VNDR_CODE | DEJO_VE_FK | الحسابات والدفتر العام | ربط detail journal بـvendor |
| 657 | DETAIL_JOURNAL | IAS_CURRENCY | n:1 | DJ_CY | CY_CODE | DEJO_IACU_FK | الحسابات والدفتر العام | ربط detail journal بـias currency |
| 667 | ACCOUNT_TYPES | DETAIL_JOURNAL | n:1 | AT_DJ | DJ_CODE | ACTY_DEJO_FK | الحسابات والدفتر العام | ربط account types بـdetail journal |
| 673 | ACCOUNT_TYPES | IAS_CURRENCY | n:1 | AT_CY | CY_CODE | ACTY_IACU_FK | الحسابات والدفتر العام | ربط account types بـias currency |
| 681 | ACCOUNT_REPORT_TYPE | CUSTOMER | n:1 | ART_CST | CST_CODE | ACRETY_CU_FK | الحسابات والدفتر العام | ربط account report type بـcustomer |
| 685 | DETAIL_JOURNAL | ACCOUNT_GROUPING | n:1 | DJ_AG | AG_CODE | DEJO_ACGR_FK | الحسابات والدفتر العام | ربط detail journal بـaccount grouping |
| 692 | ACCOUNT_REPORT_TYPE | MASTER_JOURNAL | n:1 | ART_MJ | MJ_CODE | ACRETY_MAJO_FK | الحسابات والدفتر العام | ربط account report type بـmaster journal |
| 696 | MASTER_JOURNAL | ACCOUNT | n:1 | MJ_A | A_CODE | MAJO_AC_FK | الحسابات والدفتر العام | ربط master journal بـaccount |
| 710 | ACCOUNT_CURR | GLS_COST_CENTER_TRANS | n:1 | AC_GCCT | GCCT_CODE | ACCU_GLCOCETR_FK | الحسابات والدفتر العام | ربط account curr بـgls cost center trans |
| 719 | ACCOUNT_CURR | ACCOUNT_TYPES | n:1 | AC_AT | AT_CODE | ACCU_ACTY_FK | الحسابات والدفتر العام | ربط account curr بـaccount types |
| 730 | ACCOUNT_TYPES | MASTER_JOURNAL | n:1 | AT_MJ | MJ_CODE | ACTY_MAJO_FK | الحسابات والدفتر العام | ربط account types بـmaster journal |
| 742 | ACCOUNT | ACCOUNT_CURR | n:1 | A_AC | AC_CODE | AC_ACCU_FK | الحسابات والدفتر العام | ربط account بـaccount curr |
| 756 | OPEN_BAL | ACCOUNT_TYPES | n:1 | OB_AT | AT_CODE | OPBA_ACTY_FK | الحسابات والدفتر العام | ربط open bal بـaccount types |
| 786 | GLS_COST_CENTER_TRANS | ACCOUNT_GROUPING | n:1 | GCCT_AG | AG_CODE | GLCOCETR_ACGR_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount grouping |
| 788 | ACCOUNT_CURR | ACCOUNT_GROUPING | n:1 | AC_AG | AG_CODE | ACCU_ACGR_FK | الحسابات والدفتر العام | ربط account curr بـaccount grouping |
| 789 | MASTER_JOURNAL | ACCOUNT_GROUPING | n:1 | MJ_AG | AG_CODE | MAJO_ACGR_FK | الحسابات والدفتر العام | ربط master journal بـaccount grouping |
| 794 | DETAIL_JOURNAL | MASTER_JOURNAL | n:1 | DJ_MJ | MJ_CODE | DEJO_MAJO_FK | الحسابات والدفتر العام | ربط تفاصيل القيد بسند القيد |
| 797 | ACCOUNT_GROUPING | ACCOUNT | n:1 | AG_A | A_CODE | ACGR_AC_FK | الحسابات والدفتر العام | ربط account grouping بـaccount |
| 800 | ACCOUNT_TYPES | MASTER_JOURNAL | n:1 | AT_MJ | MJ_CODE | ACTY_MAJO_FK | الحسابات والدفتر العام | ربط account types بـmaster journal |
| 804 | ACCOUNT_CURR | ACCOUNT_GROUPING | n:1 | AC_AG | AG_CODE | ACCU_ACGR_FK | الحسابات والدفتر العام | ربط account curr بـaccount grouping |
| 810 | ACCOUNT_TYPES | MASTER_JOURNAL | n:1 | AT_MJ | MJ_CODE | ACTY_MAJO_FK | الحسابات والدفتر العام | ربط account types بـmaster journal |
| 818 | DETAIL_JOURNAL | ACCOUNT | n:1 | DJ_A | A_CODE | DEJO_AC_FK | الحسابات والدفتر العام | ربط تفاصيل القيد بالحساب |
| 828 | ACCOUNT_GROUPING | ACCOUNT_REPORT_TYPE | 1:1 | AG_ART | ART_CODE | ACGR_ACRETY_FK | الحسابات والدفتر العام | ربط account grouping بـaccount report type |
| 844 | ACCOUNT_TYPES | ACCOUNT_CURR | 1:n | AT_AC | AC_CODE | ACTY_ACCU_FK | الحسابات والدفتر العام | ربط account types بـaccount curr |
| 864 | MASTER_JOURNAL | ACCOUNT_REPORT_TYPE | n:1 | MJ_ART | ART_CODE | MAJO_ACRETY_FK | الحسابات والدفتر العام | ربط master journal بـaccount report type |
| 876 | ACCOUNT_TYPES | OPEN_BAL | 1:n | AT_OB | OB_CODE | ACTY_OPBA_FK | الحسابات والدفتر العام | ربط account types بـopen bal |
| 884 | ACCOUNT_TYPES | MASTER_JOURNAL | n:1 | AT_MJ | MJ_CODE | ACTY_MAJO_FK | الحسابات والدفتر العام | ربط account types بـmaster journal |
| 889 | MASTER_JOURNAL | ACCOUNT | n:1 | MJ_A | A_CODE | MAJO_AC_FK | الحسابات والدفتر العام | ربط master journal بـaccount |
| 893 | ACCOUNT | GLS_COST_CENTER_TRANS | 1:n | A_GCCT | GCCT_CODE | AC_GLCOCETR_FK | الحسابات والدفتر العام | ربط account بـgls cost center trans |
| 896 | ACCOUNT_CURR | GLS_COST_CENTER_TRANS | n:1 | AC_GCCT | GCCT_CODE | ACCU_GLCOCETR_FK | الحسابات والدفتر العام | ربط account curr بـgls cost center trans |
| 897 | ACCOUNT_TYPES | ACCOUNT | n:1 | AT_A | A_CODE | ACTY_AC_FK | الحسابات والدفتر العام | ربط account types بـaccount |
| 903 | ACCOUNT | ACCOUNT_REPORT_TYPE | n:1 | A_ART | ART_CODE | AC_ACRETY_FK | الحسابات والدفتر العام | ربط account بـaccount report type |
| 906 | MASTER_JOURNAL | GLS_COST_CENTER_TRANS | 1:1 | MJ_GCCT | GCCT_CODE | MAJO_GLCOCETR_FK | الحسابات والدفتر العام | ربط master journal بـgls cost center trans |
| 931 | GLS_COST_CENTER_TRANS | ACCOUNT_CURR | n:1 | GCCT_AC | AC_CODE | GLCOCETR_ACCU_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount curr |
| 932 | DETAIL_JOURNAL | ACCOUNT_TYPES | 1:1 | DJ_AT | AT_CODE | DEJO_ACTY_FK | الحسابات والدفتر العام | ربط detail journal بـaccount types |
| 955 | ACCOUNT_CURR | ACCOUNT_REPORT_TYPE | 1:n | AC_ART | ART_CODE | ACCU_ACRETY_FK | الحسابات والدفتر العام | ربط account curr بـaccount report type |
| 956 | ACCOUNT_REPORT_TYPE | ACCOUNT_GROUPING | n:1 | ART_AG | AG_CODE | ACRETY_ACGR_FK | الحسابات والدفتر العام | ربط account report type بـaccount grouping |
| 961 | ACCOUNT_TYPES | OPEN_BAL | n:1 | AT_OB | OB_CODE | ACTY_OPBA_FK | الحسابات والدفتر العام | ربط account types بـopen bal |
| 968 | ACCOUNT_REPORT_TYPE | GLS_COST_CENTER_TRANS | n:m | ART_GCCT | GCCT_CODE | ACRETY_GLCOCETR_FK | الحسابات والدفتر العام | ربط account report type بـgls cost center trans |
| 976 | ACCOUNT_CURR | IAS_ACTVTY | n:1 | AC_ACTVTY | ACTVTY_CODE | ACCU_IAAC_FK | الحسابات والدفتر العام | ربط account curr بـias actvty |
| 989 | ACCOUNT_CURR | DETAIL_JOURNAL | n:1 | AC_DJ | DJ_CODE | ACCU_DEJO_FK | الحسابات والدفتر العام | ربط account curr بـdetail journal |
| 992 | ACCOUNT | OPEN_BAL | n:1 | A_OB | OB_CODE | AC_OPBA_FK | الحسابات والدفتر العام | ربط account بـopen bal |
| 1000 | GLS_COST_CENTER_TRANS | MASTER_JOURNAL | n:1 | GCCT_MJ | MJ_CODE | GLCOCETR_MAJO_FK | الحسابات والدفتر العام | ربط gls cost center trans بـmaster journal |
| 1004 | MASTER_JOURNAL | ACCOUNT_REPORT_TYPE | n:1 | MJ_ART | ART_CODE | MAJO_ACRETY_FK | الحسابات والدفتر العام | ربط master journal بـaccount report type |
| 1024 | OPEN_BAL | ACCOUNT_REPORT_TYPE | n:1 | OB_ART | ART_CODE | OPBA_ACRETY_FK | الحسابات والدفتر العام | ربط open bal بـaccount report type |
| 1028 | ACCOUNT_REPORT_TYPE | GLS_COST_CENTER_TRANS | n:m | ART_GCCT | GCCT_CODE | ACRETY_GLCOCETR_FK | الحسابات والدفتر العام | ربط account report type بـgls cost center trans |
| 1029 | ACCOUNT_REPORT_TYPE | ACCOUNT | n:1 | ART_A | A_CODE | ACRETY_AC_FK | الحسابات والدفتر العام | ربط account report type بـaccount |
| 1058 | ACCOUNT_TYPES | ACCOUNT_REPORT_TYPE | 1:n | AT_ART | ART_CODE | ACTY_ACRETY_FK | الحسابات والدفتر العام | ربط account types بـaccount report type |
| 1070 | GLS_COST_CENTER_TRANS | DETAIL_JOURNAL | n:1 | GCCT_DJ | DJ_CODE | GLCOCETR_DEJO_FK | الحسابات والدفتر العام | ربط gls cost center trans بـdetail journal |
| 1076 | ACCOUNT | IAS_ACTVTY | n:1 | A_ACTVTY | ACTVTY_CODE | AC_IAAC_FK | الحسابات والدفتر العام | ربط account بـias actvty |
| 1103 | DETAIL_JOURNAL | OPEN_BAL | n:1 | DJ_OB | OB_CODE | DEJO_OPBA_FK | الحسابات والدفتر العام | ربط detail journal بـopen bal |
| 1108 | GLS_COST_CENTER_TRANS | ACCOUNT_REPORT_TYPE | n:1 | GCCT_ART | ART_CODE | GLCOCETR_ACRETY_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount report type |
| 1109 | MASTER_JOURNAL | IAS_CURRENCY | n:1 | MJ_CY | CY_CODE | MAJO_IACU_FK | الحسابات والدفتر العام | ربط master journal بـias currency |
| 1115 | MASTER_JOURNAL | ACCOUNT_TYPES | 1:1 | MJ_AT | AT_CODE | MAJO_ACTY_FK | الحسابات والدفتر العام | ربط master journal بـaccount types |
| 1118 | OPEN_BAL | CUSTOMER | n:1 | OB_CST | CST_CODE | OPBA_CU_FK | الحسابات والدفتر العام | ربط open bal بـcustomer |
| 1119 | MASTER_JOURNAL | ACCOUNT | n:1 | MJ_A | A_CODE | MAJO_AC_FK | الحسابات والدفتر العام | ربط master journal بـaccount |
| 1123 | ACCOUNT_GROUPING | DETAIL_JOURNAL | n:1 | AG_DJ | DJ_CODE | ACGR_DEJO_FK | الحسابات والدفتر العام | ربط account grouping بـdetail journal |
| 1125 | ACCOUNT_GROUPING | GLS_COST_CENTER_TRANS | n:1 | AG_GCCT | GCCT_CODE | ACGR_GLCOCETR_FK | الحسابات والدفتر العام | ربط account grouping بـgls cost center trans |
| 1130 | ACCOUNT_GROUPING | OPEN_BAL | 1:n | AG_OB | OB_CODE | ACGR_OPBA_FK | الحسابات والدفتر العام | ربط account grouping بـopen bal |
| 1131 | ACCOUNT_TYPES | GLS_COST_CENTER_TRANS | n:1 | AT_GCCT | GCCT_CODE | ACTY_GLCOCETR_FK | الحسابات والدفتر العام | ربط account types بـgls cost center trans |
| 1146 | ACCOUNT_GROUPING | ACCOUNT | n:1 | AG_A | A_CODE | ACGR_AC_FK | الحسابات والدفتر العام | ربط account grouping بـaccount |
| 1149 | ACCOUNT_CURR | GLS_COST_CENTER_TRANS | n:1 | AC_GCCT | GCCT_CODE | ACCU_GLCOCETR_FK | الحسابات والدفتر العام | ربط account curr بـgls cost center trans |
| 1154 | GLS_COST_CENTER_TRANS | ACCOUNT | n:1 | GCCT_A | A_CODE | GLCOCETR_AC_FK | الحسابات والدفتر العام | ربط gls cost center trans بـaccount |
| 1157 | ACCOUNT_REPORT_TYPE | ACCOUNT_GROUPING | n:1 | ART_AG | AG_CODE | ACRETY_ACGR_FK | الحسابات والدفتر العام | ربط account report type بـaccount grouping |
| 1161 | ACCOUNT_REPORT_TYPE | ACCOUNT_TYPES | 1:n | ART_AT | AT_CODE | ACRETY_ACTY_FK | الحسابات والدفتر العام | ربط account report type بـaccount types |
| 1168 | MASTER_JOURNAL | ACCOUNT_TYPES | 1:n | MJ_AT | AT_CODE | MAJO_ACTY_FK | الحسابات والدفتر العام | ربط master journal بـaccount types |
| 1178 | MASTER_JOURNAL | ACCOUNT_REPORT_TYPE | n:m | MJ_ART | ART_CODE | MAJO_ACRETY_FK | الحسابات والدفتر العام | ربط master journal بـaccount report type |
| 1187 | ACCOUNT_REPORT_TYPE | ACCOUNT | n:1 | ART_A | A_CODE | ACRETY_AC_FK | الحسابات والدفتر العام | ربط account report type بـaccount |
| 1188 | OPEN_BAL | GLS_COST_CENTER_TRANS | n:1 | OB_GCCT | GCCT_CODE | OPBA_GLCOCETR_FK | الحسابات والدفتر العام | ربط open bal بـgls cost center trans |
| 1189 | ACCOUNT_TYPES | VENDOR | n:1 | AT_VNDR | VNDR_CODE | ACTY_VE_FK | الحسابات والدفتر العام | ربط account types بـvendor |
| 1190 | DETAIL_JOURNAL | ACCOUNT_GROUPING | n:1 | DJ_AG | AG_CODE | DEJO_ACGR_FK | الحسابات والدفتر العام | ربط detail journal بـaccount grouping |
| 1211 | GLS_COST_CENTER_TRANS | VENDOR | n:1 | GCCT_VNDR | VNDR_CODE | GLCOCETR_VE_FK | الحسابات والدفتر العام | ربط gls cost center trans بـvendor |
